,review_body,review_date,hotelName,hotelUrl
10,"Rooms are small but well organized. Very nicely decorated. Staff was very friendly. Very clean. The breakfast. Wow wow wow! Gorgeous spread, pastries, fresh expresso and cappuccino, fruit, cheeses, meats, yogurt, warm pastries. Quiche, fantastic!","June 5, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
11,"Close to the central station as well as the metro station this is a clean and efficient hotel giving value for money.Good filling breakfast including eggs, fresh fruits, deserts etc much more than the continental breakfasts provided by other Italian hotels. Bathrooms are clean and thoughtfully provided with heated clothes stand. ","May 26, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
12,"Small but quaint little hotel tucked away minutes from grand central station. Great staff, cute little dining area with a delicious breakfast of various pastries. Single room quite small but well equipped.","May 20, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
13,"A really pleasant spot, excellent location, clean and modern throughout with thoughtful design in room with limited space. Good choices for breakfast and pleasant and helpful reception and dining-room staff.","May 10, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
14,"Very comfortable beds, newly renovated and quiet rooms in a good location near Central station; the rooms are not big but as they are really reasonably priced, this is fine. The breakfast buffet is plentiful and served in a nice room, also newly renovated","May 7, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
15,Hotel Bernina is a beautiful hotel situated really close to the central train station. The hotel is well appointed and clean. The staff are most helpful and provided me with excellent information and advice. It's not too far to walk to Duomo but there are transport links nearby. The rooms were bright and airy. I would certainly recommend.,"May 4, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
16,"Just spent two nights at Hotel Bernina. Rooms are modern, clean, bright and beds are comfy. Breakfast was excellent and the staff are very friendly, professional and service minded. Location is perfect for arriving and leaving from Milan Central station. I’ll definitely stay there again!","April 28, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
17,"Great location close to the train station, 5 minutes walking with luggage. Clean rooms. Because we were close to the metro it made it easy to see all the sights. Good restaurants are near by. The staff was helpful.","March 28, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
18,"My over all rating is excellent in spite of a few things out of their control.....The price was excellent....The Location was excellent...the breakfast was very good....the room was very clean every day with a really sweet house cleaning lady, i was able to catch the hop on hop off bus near the hotel....I felt very safe there....they allowed me to check in early....the central train station was a block up the street....I was able to take day excursions to Pisa, Venice, cinque Terre and Lake Como with no problems...there is also a ticket office for the train station a few feet away (where I booked all my excursions.... most of the staff attitudes were ok .....a few were a bit impatient...my only issues were the bathroom had a weird smell and the elevator was too small....so I had to take the stairs to the third floor everyday but I would put my luggage on the elevator, lastly book your tickets in advance to see the Last Supper”. Didn’t get to. See Leonardo Da Venchi painting ... over all I love Italy and Hotel Bernina!!!!!!!","March 27, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
19,"This hotel is definitely cheap and cheerful.The rooms themselves are very small, and not the most modern. However, they are clean which is a bonus. The hotel is ideally located just across the street from Milano Centrale Train Station giving you access to trains and Metro.Overall I would stay in this establishment again but only if I was not planning on actually spending much time in the room.","February 21, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
20,"we had a booking from Agoda with double bed and a picture of a double bed room, as we book 2 rooms so we did not notice as we check in we were told the double bedroom is for 1 person, sounds like daylight robbery? yes so I got confuse we were then told to add EUR30 per day per pax.i never book a double bed hotel room with a double bed picture only for 1 pax.....thats a hilarious daily robbery attempt.we were tired so we check in and regroup myself I thought it was the same picture we booked and we check in so we confront the rude staff then he started to slow down and says manager agrees 50% discount since the initial payment is a refund policy I had to agree.beware!other than that the hotel is so over rated!look nice from the outside, lobby pretty chick and artsy right? thats all!small lift and barely fit 3 person, we had a spoilt kettle, fridge that do not work and it melts all my aiscream that I bought as I was not aware, stains on towel, dripping washroom it will make your floor wet and slippery & dripping shower hose so the pressure will be slow.one word, pretty run down for the price we paid.so DO NOT BOOK THIS HOTEL!","February 2, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
21,"Excellent, comfortable and central. Ideal for Milan. This is my favourite business travel location. Have used it for years and the recent improvements have made it a very good location. Good working space available as well","January 29, 2019","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
22,"Just a short walk to Milano train station, this hotel is about location. Modern fittings, the hotel probably had a face lift. It does have stylish & modern furnitures in my room, but the kettle wasn't real clean. It must have been in used for a long time, I wouldn't use it. A beautifully decorated dinning area, but limited selection of breakfast served.11am sharp, I was called up to leave. Staff wasn't that interested to talk, maybe because of language.","December 27, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
23,"Perfect and Comfy Stay, very helpful & welcoming receptionist, well designed room, Clean bathroom, tasty breakfast.. In addition to perfect central location...very close to central Station, restaurant, shopping, city sightseeing bus station, supermarket and everything....","November 21, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
24,"It was a good choice because of the perfect location (metro, restaurant and mini market). The staff was gentle and receptive. The breakfast was delicious, but poor in fruits.The room was simple and nice, but in the morning the hall was noisy because of the people keep chatting and slamming doors.","November 12, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
25,"Great breakfast, hotel was centrally located and service was as expected, nothing out of the ordinary! Very close to the train station and surrounded by good restaurants :)Staff is sweet and helped me find my way around!","November 2, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
26,"We stayed at the Hotel Bernina for one night this week (8th-9th October). It is the perfect location for a quick trip to Milan - really close to the main station (less than 5min walk) and easy access to the Metro station. The room itself was quite basic in terms of decor but it was all we needed. There were tea and coffee making facilities and a hairdryer, and the bed was very comfortable. There was also a mini fridge and we had two free bottles of water included. Breakfast was varied and fresh and the staff were helpful. ","October 12, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
27,"close to everything....so close to the milano centrale station and a few steps away from the hotel is the Metro Station going to the Duomo. breakfast is good. i would stay there again and would recommend this hotel to friends. room is small but comfortable, AC is good and the hot shower is great and WiFi is fast. a lot of restaurants and cafe around the area and is safe at night. bus going to the airport is also available at the milano centrale station which made the trip going to the airports really convinient and saves you a lot of money from taking the taxis.","October 10, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
28,Hotel Bernina is located very close to Centrale Station making it very convenient to get around Milano and eventually to Malpensa airport. The decor is fantastic; breakfast service staff amazing and the rooms clean and comfortable. ,"October 2, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
29,What a gem this place was. Close to the main train station and two metros. Hotel staff were always extremely helpful. The room was large by European standards and very clean. We chose not to have the hotel breakfast and instead had a typical Italian bar breakfast at many of the nearby establishments. Being so close to the train station meant there were a few homeless around at night but that’s no different to any major city. It was a great way to kick off our stay in Milan. ,"September 8, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
30,"Good location and the personnel was very friendly, very good amenities and the breakfast Room was very clean and spacious, also the Food was very good. The Room was very clean all the times. I will recommed this Hotel to my friends and relatives. Also the location of this Hotel is ve4y good because is very close to the Milano Centrale were you can take the Trains to go any place you want.","September 6, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
31,"Within in walking distance to the train station, the Bernina is an ideal spot for an affordable stay. While the rooms are small, the hotel is quiet and the service is very good. Our included breakfast was fantastic. There are restaurants up and down the street and the neighborhood is safe at any hour. This is a great stay.","August 27, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
32,Everyone was friendly and I loved their breakfast. Good location. Close to pier and downtown square. We had an awesome view of the mountains from our window! The room had AC and decent space. I would stay here again.,"August 20, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
33,"Great location and nice room and lobby area. As soon as we opened the bathroom door the smell of cigarettes was intense, being a non smoker it was disgusting and we just used the bathroom as little as possible. Wouldn’t return for this reason.","August 9, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
34,Excellent service and a very nice breakfast and nice coffee! The room is amazing (though the bed is quiet small) but the interior and toilet is nice! and staff are so friendly! Easy access to metro and restaurants nearby! Would definitely recommend and will book this hotel again once we come back Milan!,"July 3, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
35,"I stayed for a week in April, and while it was certainly adequate, I wouldn't return. My room was very small as was the bed. It had all the advertised amenities, free bottle of water daily, a kettle, a small fridge, AC, television with English stations etc, etc.I couldn't access the wifi and the remote for the tv was difficult to operate, I never did figure out how to turn it off and there was a glare from the screen every night for a few hours until it finally shut down. The walls were paper thin and lacked soundproofing. Of the three front desk staff I spoke with, 1 was sharp and abrupt, the other 2 were okay but not what I would call friendly, a smile would have been appreciated.I was travelling alone and I did feel safe though, it was very convenient being across the street from the main station as I used Milan as a base for day trips. I could go and get a coffee and pastry early in the morning before starting off. I didn't get breakfast because I would be l gone by 6 every morning and breakfast started later than that, plus it was quite pricey in my opinion.","June 13, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
36,"Came across The Hotel Berna based on reviews, location and price. We had a great stay, albeit just one night. We stayed in a quality room w/ sofa. Average to larger size for similar Italian hotels. It met all of my needs in a hotel (clean, cool and quiet) at a reasonable price. Within walking distance of Milano Centrale as well as the Metro makes this a logical place to stay if arriving by train as well as being centrally located for business and pleasure activities in the city. The breakfast was outstanding as well as the service from all of the employees that we came in contact with. You can even personalize your stay prior to your arrival with the type of pillow you want, what complimentary beverages that you want stocked in the mini-fridge and what temperature you want in your room upon your arrival. Future trips to Milan will always find me here","June 8, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
37,"What I love about this hotel is the wonderful breakfast spread. Also, its close to Milan Central Station, only about 5 mins walk. However, the reception staff was very unfriendly and was not helpful. Whatever we enquired (about Milan), it was answered with a shrug or 'I don't know'.Rooms are a good size and clean. It was comfortable for the 2 of us. I just wish the staff were friendlier.","May 9, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
38,"A comfortable location - near the central station of Milan. Rather small room, corridor and lift. A hotel just for sleeping and passing days out. Nice lobby and exterior view, friendly staff, free wi-fi.","April 26, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
39,"We stayed in this hotel with my wife during our visit to Milan in Apr 2018.Location of the hotel is very convenient - direct connection with airport, a lot of restaurants, supermarkets, car rental offices and shops are near the hotel.Rooms are very very small, it would be difficult to stay longer than over weekend.Rooms are old but pretty clean, no serious concerns.During our stay the next building was under reconstruction, so we were waking up because of loud voices of construction workers, but I believe that construction will be finished soon","April 9, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
40,"A nice, simple, easy, and clean hotel to stay in Milan that is very near the main train station. Breakfast was good too. If you are a business traveller this hotel works best for you too. Travel from airport to the central station via a single bus ride and the hotel is walking distance from where you get dropped off.","February 23, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
41,"Booked two single rooms which clearly had just been renovated, the rooms are small but have good size bathrooms. My TV was not receiving satalite, so was moved to a double room with no problems. The hotel seems to have been totally updated and the reception rooms are a little quirky with modern paintings. the lift only has room for 2 but works. The breakfast spread is exceptional and the coffee to italian standards. Staff friendly and helpful , and reception 24/7","February 6, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
42,i stay just one night in the hotel and didn't use food service so i can't write any comment about that. but i can say the rooms was quite comfort and in high standard level in compare to the payed value. one important thing is that it's quite close to the Milan central station and also you can find enough good restaurants in around.,"January 13, 2018","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
43,I went and look for a hotel and I decided to see the room before I pay.after checking the room was too small I decided not to stay and I sit down at the lobby and I was chased away by the receptionist who was on the duty at night shift at about 2230pm.He use his finger sign and ask me to leave.i immediately stand up and walk away and check in at another hotel.The management please train your staff well and even if you don’t allowed non guest to stay at the lobby.you should not point your finger in such way.i will not stay at this hotel I will not recommend this hotel to anyoneDear guest please don’t stay at this hotel.the staff is so rude,"November 25, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
44,"Very clean up to date, but small, room right across the street from the train station. Walking distance to all the major sites of Milano. Most hotels in the area were much more expensive and we found this to be much more than adequate for a 1-2 night stay.","October 23, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
45,"The room might be small but everything works! The breakfast spread is wide enough to satisfy your craving. Very easy to locate this hotel. As you get out of Milano Centrale ahead of you is a big road and a building with a signage that says Generali. Look towards the left, at 11 o’ clock position. You will see a small road between two buildings. Hotel Bernini is there, a short 4-minute walk away. Service here is great. Front office staff very responsive. We were even allowed to have our breakfast before the 7 am opening time so that we can catch an early train. Decor is unique and refreshing. Nice ambience. ","October 17, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
46,"If you are on a budget, and need to be near the Central railway Station, this hotel may suit you. It is walking distance (5 mins) from the station, has a decent lobby with some modern art on display, and breakfast is ok. The lift hold only two people (can be embarrassing) and the rooms are very small, yet clean and reasonable.","September 28, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
47,"I stayed in Hotel Bernina in September 2017. The rate for a single room was very competitive. Breakfast staff were very hospitable and the food was varied and very tasty, especially the spinach and ricotta tart (which was made by the lovely senora in the kitchen). The lady also made excellent cappuccino. On the other hand I was very surprised that some of the hotel reception staff were not very sociable. As I have worked in the hospitality industry, I would always welcome customers and ask them how their day was going and in this case, the staff should have engaged in conversation with me as a tourist i.e. what have your seen today in Milan etc. Overall a very clean hotel and the staff who cleaned the room did an excellent job.","September 21, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
48,"The lobby and common areas of the hotel are full of modern art and very welcoming. The rooms are small-ish but the AC is VERY good and the location is super convenient, with the train station and a metro stop very close by. Breakfast was very nice and the breakfast attendant Sveta was just the absolute nicest ever.","September 13, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
49,"Great experience ! Despite the single room looks a little bit small, the bathroom has the necessary room and equipment. The entire breakfast service was a really enjoyable experience, and the staff at the front desk were always helpful and kind.","July 30, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
50,"very convenient location - not too loud (you can sleep with the window open) - rooms not too big or modern (but were there to visit Milan not the room) - freshly renovated, colourful and artistic entrance and dining spaces - great breakfast - inexpensive compared to other hotels right next door (we have been to Milano often an stayed in the neighbouring hotel unknowingly)","July 27, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
51,"Basic, immaculately clean perfect for quick stopover. Simple and clean. I had a 7:00am train to catch one morning and then later in the week when I returned to this hotel I had the Bergamo Airport bus to catch at 07:35 beside the station. Hotel location was ideal for both these early starts. I didn't have breakfast as I left too early. Staff are v efficient.","July 26, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
52,"We stayed in this hotel a few days ago and we really enjoyed our stay. Convenient location, good service, lovely breakfast, beautiful and clean hotel!! In this hotel you will feel very safe and welcomed)) Staff is very kind and helpfull especially Sveta - lady who served breakfast.","July 21, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
53,"Just a few meters away from Milano Centrale railway station, Hotel Bernina is an urban oasis. I only spent one night there, but I wish I could have spent more. Kind staff, great location (metro stop is 30 meters away), very clean rooms, and lovely shower. Cool design in the lobby/breakfast room as well. The room is a little small, but you have plenty of space for all you need. I was pleasantly surprised. Highly recommend!","July 13, 2017","0    Hotel Bernina
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d260953-Reviews-Hotel_Bernina-Milan_Lombardy.html
54,Overall Hotel Is Nice with Very Kind and Helpful Staff at The reception but The rooms are extremely small and in such 4 star property we faced Major inconvenience due to 1 OUT OF SERVICE Lift out of 2 which is major Turn off and Makes u stay Waiting for the lift all the time and that too in whole stay of 3 nigts and 4 days. In such a property it should be Repaired within Minutes with such heavy footfall and Such Nice restaurant at Roof.,"October 2, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
55,"Perfect for our overnight stay between connections at Milan Centrale. Easy walk with baggage, efficient front desk, clean well furnished room, multiple options for drink or late night snack. Plus, outstanding breakfast.","September 29, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
56,"Renovations were just being completed when we arrived so things changed everyday. Spa downstairs was free which included, pool, salt room, sauna, steam room & gym. We had a standard room which was clean, quiet and comfortable. Free Wi-fi. Breakfast was extra 18 Euro each which was good value as it had a good variety and as many cappuccinos as you can drink! Staff were lovely. Reminder there is a tourist tax in Italy this hotel was 5 euros each per day on your check out bill. Short walk to Central Station where you can get the Hop on Hop off bus.","September 26, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
57,Walking distance from Central train station but a decent walk to other sights.Breakfast did have gluten free options which is pleasing considering Europe doesn’t have much to offer elsewhere.Room was fine but bed wasn’t very comfortable ,"September 25, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
58,"The location is okay but and the hotel is quite new.However, the service is not good at all, we called for checking if possible we request additional mineral water, but the one who answered my call was very rude. The room is very small though.","September 20, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
59,"I stayed here based on the reviews but wouldn’t recommend it. Our city view consisted of the construction of two large buildings (I checked with reception that this was a city view), no coffee machine in room as stated, the lifts were very slow and there was construction of the foyer during our stay ( it states on their website it would take place until the day we arrived and it was still going on the day we left). Overall very disappointing. ","September 8, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
60,Hotel was close to railway station which was very handy because this is how we travelled. A ramp would be useful at the entrance because there are quite a few stairs. The hotel was very clean and tidy. ,"September 7, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
61,Stayed in Milan for one night as we passed by from Paris to Rome. Although the lobby was under construction everything else appeared to be in working order. The highlight of the hotel was the wellness center which offered a Roman bath and saunas. We wished we stayed another night. ,"September 6, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
62,We stayed one night at the Hyatt Centric to be near the milano centrale station for our early morning bus transfer to Bergamo Airport. This hotel is now (august) going through lobby renovations and this area is limited in size. they have a great roof bar terrace but the drinks and food are too expensive. In general the rooms are small with king beds. Just a clean hotel near the milano centrale (walking) for those who want to stay short visit for connections in train. Breakfast is expensive try to get the room with breakfast included.,"September 2, 2019","1    Hyatt Centric Milan Centrale
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html
